"TimeStamp","Mean Gradient Total","Mean Gradient Horizontal","Mean Gradient Vertical","Twist (alpha)","Mean Inclination angle fro Radial","Mean Photospheric Magnetic Free Energy","Mean Shear Angle","Fraction Area Shear gt 45 deg","Mean Vertical Current Density","Unsigned Magnetic Flux in Gauss/Cm^2","Total Unsigned current Ampere","Total Photospheric Energy Density","Total Unsigned Current Helicity","Absolute Val of Current Helicity"
"2012/07/08 17:12","84.302","46.358","91.493","0.02295429","45.234","9502.516","39.137","32.815","0.09443823","1.13004E23","1.60728E14","2.294829E24","7673.933","1709.293"
"2012/07/08 17:24","84.858","46.513","92.146","0.02292459","45.282","9545.665","39.115","32.844","0.09771512","1.127955E23","1.605929E14","2.298568E24","7697.207","1707.462"
"2012/07/08 17:36","84.828","46.3","91.813","0.02295596","45.546","9577.083","39.297","33.088","0.12091575","1.124413E23","1.582583E14","2.304684E24","7632.094","1704.538"
"2012/07/08 17:48","85.024","46.385","92.284","0.0233046","45.369","9569.028","39.187","32.964","0.12344074","1.126143E23","1.580789E14","2.299416E24","7685.753","1734.516"
"2012/07/08 18:00","85.081","46.391","92.311","0.02331646","45.354","9584.617","39.055","32.961","0.1348554","1.123621E23","1.576675E14","2.293743E24","7643.93","1732.968"
"2012/07/08 18:12","85.361","46.636","92.63","0.02270205","45.422","9593.934","39.115","32.983","0.1528732","1.120371E23","1.575614E14","2.286837E24","7668.562","1684.273"
"2012/07/08 18:24","85.408","46.505","92.482","0.02231083","45.359","9593.1","39.032","32.99","0.17137718","1.125822E23","1.572926E14","2.288472E24","7685.862","1663.633"
"2012/07/08 18:36","85.911","46.851","93.051","0.02221452","45.403","9692.925","39.123","33.268","0.14826202","1.123582E23","1.577734E14","2.296388E24","7724.52","1657.967"
"2012/07/08 18:48","86.635","47.036","93.924","0.02259789","45.346","9804.793","39.072","33.12","0.13875313","1.119843E23","1.553351E14","2.29681E24","7675.857","1689.066"
"2012/07/08 19:00","87.397","47.514","94.824","0.02195152","45.289","9888.291","39.082","33.205","0.15237939","1.117849E23","1.55606E14","2.293165E24","7755.2","1647.251"
"2012/07/08 19:12","88.064","47.796","95.355","0.02271984","45.59","10116.0","39.353","33.879","0.13673779","1.108336E23","1.546445E14","2.30708E24","7739.649","1704.063"
"2012/07/08 19:24","88.85","48.311","96.496","0.0226908","45.524","10165.31","39.24","33.729","0.13256653","1.108815E23","1.5621E14","2.300196E24","7844.015","1711.027"
"2012/07/08 19:36","89.294","48.644","96.668","0.02304526","45.483","10275.92","39.193","33.643","0.13601792","1.106388E23","1.552122E14","2.304589E24","7800.999","1740.337"
"2012/07/08 19:48","89.429","48.659","96.847","0.02345161","45.522","10340.34","39.251","33.728","0.12529162","1.105134E23","1.559251E14","2.312129E24","7867.982","1773.47"
"2012/07/08 20:00","90.162","49.123","98.063","0.02352616","45.421","10427.67","39.211","33.777","0.12202165","1.106537E23","1.574782E14","2.310537E24","8020.944","1791.211"
"2012/07/08 20:12","90.529","49.698","98.54","0.02432466","45.505","10509.68","39.306","34.023","0.08771367","1.106736E23","1.596413E14","2.327035E24","8073.857","1854.51"
"2012/07/08 20:24","90.924","49.877","98.71","0.02427238","45.594","10574.71","39.425","34.226","0.10061993","1.108868E23","1.621096E14","2.344216E24","8168.117","1855.552"
"2012/07/08 20:36","91.363","50.234","99.329","0.02513117","45.68","10659.73","39.556","34.336","0.09777639","1.10689E23","1.627549E14","2.350251E24","8233.718","1923.681"
"2012/07/08 20:48","91.877","50.571","99.822","0.02495842","45.454","10693.76","39.43","34.012","0.08935264","1.112636E23","1.637127E14","2.356275E24","8312.366","1920.711"
"2012/07/08 21:00","91.906","50.976","100.484","0.02517946","45.755","10766.93","39.644","34.211","0.108992","1.109368E23","1.648427E14","2.377575E24","8323.397","1932.666"
"2012/07/08 21:12","92.116","51.077","100.441","0.02537339","45.608","10787.33","39.596","34.092","0.10831053","1.113737E23","1.654932E14","2.386549E24","8378.228","1954.557"
"2012/07/08 21:24","92.245","51.244","100.431","0.02502653","45.459","10724.09","39.523","33.888","0.14006492","1.123751E23","1.67591E14","2.398551E24","8439.63","1942.456"
"2012/07/08 21:36","92.252","51.153","100.846","0.02437849","45.302","10700.3","39.347","33.571","0.08740651","1.134196E23","1.676144E14","2.40025E24","8535.146","1911.609"
"2012/07/08 21:48","92.23","51.256","100.84","0.02443113","45.377","10633.75","39.496","33.787","0.0895223","1.143236E23","1.699463E14","2.419638E24","8648.69","1927.22"
"2012/07/08 22:00","92.094","51.295","100.921","0.02318422","45.471","10644.4","39.578","33.814","0.14528936","1.146518E23","1.70163E14","2.439576E24","8628.096","1832.348"
"2012/07/08 22:12","91.935","50.965","100.379","0.02295246","45.366","10466.07","39.383","33.452","0.13859327","1.161793E23","1.717238E14","2.441598E24","8652.735","1832.913"
"2012/07/08 22:24","91.712","50.949","100.224","0.02284213","45.395","10442.92","39.465","33.362","0.13185689","1.166918E23","1.720525E14","2.456127E24","8647.352","1831.346"
"2012/07/08 22:36","91.609","50.891","100.238","0.02287466","45.459","10390.84","39.542","33.514","0.13185802","1.174739E23","1.739475E14","2.466494E24","8705.565","1844.447"
"2012/07/08 22:48","91.645","50.941","100.562","0.02313593","45.214","10359.82","39.307","33.07","0.14252584","1.181129E23","1.740768E14","2.46436E24","8787.095","1875.08"
"2012/07/08 23:00","91.177","50.443","99.998","0.02288424","45.133","10238.12","39.195","32.937","0.12634113","1.191247E23","1.752479E14","2.465838E24","8820.604","1866.05"
