"TimeStamp","Mean Gradient Total","Mean Gradient Horizontal","Mean Gradient Vertical","Twist (alpha)","Mean Inclination angle fro Radial","Mean Photospheric Magnetic Free Energy","Mean Shear Angle","Fraction Area Shear gt 45 deg","Mean Vertical Current Density","Unsigned Magnetic Flux in Gauss/Cm^2","Total Unsigned current Ampere","Total Photospheric Energy Density","Total Unsigned Current Helicity","Absolute Val of Current Helicity"
"2012/07/11 09:48","92.24","55.031","94.283","0.02030118","52.968","10442.71","45.278","45.091","0.14915","9.421076E22","1.626532E14","2.347114E24","7457.106","1315.16"
"2012/07/11 10:00","91.802","54.748","93.759","0.02015257","52.942","10335.1","45.249","45.074","0.1766381","9.4408E22","1.631806E14","2.346357E24","7410.297","1302.711"
"2012/07/11 10:12","91.436","54.36","93.443","0.02051754","53.001","10283.1","45.286","45.042","0.20117348","9.417711E22","1.630181E14","2.339481E24","7374.312","1320.525"
"2012/07/11 10:24","91.573","54.15","93.606","0.02038671","52.859","10182.31","45.208","44.856","0.17757179","9.439748E22","1.64231E14","2.332304E24","7389.613","1310.332"
"2012/07/11 10:36","91.633","54.234","93.714","0.02080666","52.844","10159.05","45.231","44.893","0.1734416","9.448786E22","1.653039E14","2.332036E24","7442.13","1337.409"
"2012/07/11 10:48","91.504","54.225","93.539","0.02081126","52.973","10122.96","45.38","45.058","0.19240893","9.443627E22","1.664936E14","2.334572E24","7438.886","1336.943"
"2012/07/11 11:00","91.84","54.287","93.883","0.02044647","52.841","10090.71","45.283","44.732","0.19519611","9.454892E22","1.666574E14","2.328436E24","7445.165","1314.707"
"2012/07/11 11:12","91.843","54.058","93.881","0.02051289","52.838","9992.607","45.222","44.659","0.20046806","9.492308E22","1.683463E14","2.331158E24","7433.741","1319.433"
"2012/07/11 11:24","91.998","54.077","94.089","0.02056335","52.807","10023.14","45.232","44.787","0.20990679","9.46266E22","1.677539E14","2.323479E24","7433.767","1321.168"
"2012/07/11 11:36","92.251","54.217","94.36","0.02063541","52.746","9991.683","44.977","44.261","0.18312094","9.482195E22","1.696623E14","2.322623E24","7543.343","1328.006"
"2012/07/11 11:48","92.208","53.959","94.315","0.02068145","52.728","9917.066","45.083","44.393","0.19743507","9.517599E22","1.707762E14","2.32419E24","7532.306","1334.115"
"2012/07/11 12:00","92.534","54.225","94.695","0.0211784","52.68","9983.81","44.994","44.173","0.18229198","9.481686E22","1.689351E14","2.317478E24","7434.09","1363.953"
"2012/07/11 12:12","92.638","54.169","94.731","0.02191627","52.754","9967.742","44.985","44.157","0.19711465","9.485682E22","1.699464E14","2.321453E24","7505.078","1411.636"
"2012/07/11 12:24","93.112","54.474","95.198","0.02159274","52.75","9988.53","45.024","44.254","0.17460969","9.478711E22","1.696217E14","2.317777E24","7512.943","1392.023"
"2012/07/11 12:36","93.089","54.769","95.203","0.02173064","52.785","10053.28","45.104","44.274","0.2201422","9.451957E22","1.703646E14","2.325392E24","7501.861","1397.844"
"2012/07/11 12:48","92.92","54.685","95.043","0.02177065","52.87","10007.35","45.205","44.414","0.18971105","9.454843E22","1.720809E14","2.327488E24","7560.928","1398.844"
"2012/07/11 13:00","93.139","54.623","95.451","0.02180636","52.741","10001.14","45.079","44.222","0.19575538","9.462862E22","1.709489E14","2.322935E24","7533.052","1401.344"
"2012/07/11 13:12","92.771","54.386","95.124","0.02244369","52.736","9947.445","45.054","44.224","0.18211383","9.464019E22","1.723182E14","2.322683E24","7571.132","1439.53"
"2012/07/11 13:24","92.704","54.384","95.13","0.02209076","52.714","9937.419","45.078","44.122","0.19459285","9.44924E22","1.712411E14","2.315459E24","7566.08","1415.926"
"2012/07/11 13:36","92.7","54.411","94.87","0.02244748","52.815","9868.062","45.144","44.245","0.18810286","9.457849E22","1.717543E14","2.317476E24","7532.716","1437.336"
"2012/07/11 13:48","92.651","54.354","94.875","0.02235538","52.783","9901.043","45.093","44.181","0.17370364","9.439542E22","1.724594E14","2.316017E24","7523.967","1427.851"
"2012/07/11 14:00","92.741","54.299","94.863","0.02252386","52.776","9900.8","45.224","44.456","0.16748302","9.444679E22","1.717475E14","2.320155E24","7518.083","1438.859"
"2012/07/11 14:12","93.027","54.47","95.197","0.02262877","52.704","9980.659","45.092","44.283","0.18210924","9.412884E22","1.702412E14","2.316004E24","7509.407","1442.385"
"2012/07/11 14:24","92.991","54.543","95.113","0.02228058","52.778","10010.38","45.124","44.27","0.21242803","9.376679E22","1.686315E14","2.30934E24","7472.228","1416.354"
"2012/07/11 14:36","92.963","54.416","95.042","0.02254224","52.834","9979.234","45.188","44.51","0.20613445","9.38797E22","1.691249E14","2.308438E24","7458.776","1434.113"
"2012/07/11 14:48","93.06","54.438","95.04","0.02275891","52.78","9991.84","45.157","44.399","0.21921138","9.375042E22","1.671467E14","2.308581E24","7386.332","1444.309"
"2012/07/11 15:00","92.756","54.446","94.579","0.02243036","52.885","9968.508","45.329","44.737","0.20852825","9.368187E22","1.685327E14","2.313873E24","7403.477","1420.907"
"2012/07/11 15:12","92.3","54.427","94.033","0.02156526","53.067","9971.129","45.472","44.931","0.20235905","9.360608E22","1.691709E14","2.317633E24","7428.551","1365.638"
"2012/07/11 15:24","91.882","54.249","93.704","0.02233145","53.117","9937.373","45.397","44.917","0.18905357","9.360678E22","1.675445E14","2.316306E24","7382.425","1412.788"
"2012/07/11 15:36","91.607","53.928","93.499","0.02218346","53.174","9925.842","45.515","45.122","0.1758803","9.351327E22","1.66879E14","2.316229E24","7329.93","1400.441"
