"TimeStamp","Mean Gradient Total","Mean Gradient Horizontal","Mean Gradient Vertical","Twist (alpha)","Mean Inclination angle fro Radial","Mean Photospheric Magnetic Free Energy","Mean Shear Angle","Fraction Area Shear gt 45 deg","Mean Vertical Current Density","Unsigned Magnetic Flux in Gauss/Cm^2","Total Unsigned current Ampere","Total Photospheric Energy Density","Total Unsigned Current Helicity","Absolute Val of Current Helicity"
"2012/07/10 12:12","129.309","64.509","128.135","-0.01908872","36.897","1221.803","22.324","5.754","0.72862041","2.115048E21","4.25677E12","6.852277E21","167.498","15.398"
"2012/07/10 12:24","128.894","64.359","127.107","-0.02835516","38.766","1211.815","23.459","7.926","0.630979","2.078479E21","4.382625E12","6.984554E21","171.176","22.311"
"2012/07/10 12:36","126.852","63.185","125.221","-0.02746239","38.178","1202.203","23.539","7.942","0.55438089","2.092432E21","4.470803E12","6.895627E21","175.731","21.907"
"2012/07/10 12:48","124.017","62.555","122.58","-0.01747214","38.669","1169.388","23.773","8.459","0.56944525","2.083409E21","4.38428E12","6.811457E21","167.779","13.706"
"2012/07/10 13:00","124.536","62.524","122.856","-0.01402125","37.997","1246.261","23.598","7.267","0.70407039","2.144882E21","4.437283E12","7.310536E21","171.388","11.362"
"2012/07/10 13:12","126.748","63.206","125.685","-0.0116483","38.159","1235.555","23.309","7.346","0.63231397","2.185257E21","4.588401E12","7.393771E21","178.445","9.692"
"2012/07/10 13:24","129.552","63.042","128.107","-0.01445816","37.297","1246.477","23.246","7.729","0.78955728","2.231293E21","4.725837E12","7.538589E21","185.811","12.298"
"2012/07/10 13:36","126.402","61.356","125.649","-0.01159067","36.929","1171.933","22.979","7.623","0.6765821","2.1526040000000001E21","4.367964E12","6.880753E21","169.565","9.381"
"2012/07/10 13:48","124.992","60.692","123.945","-0.01161122","36.974","1181.337","23.531","7.832","0.79789001","2.126849E21","4.418275E12","6.890468E21","171.124","9.267"
"2012/07/10 14:00","121.858","59.215","121.26","-0.01756014","36.772","1134.577","22.978","6.656","0.78380233","2.145309E21","4.479602E12","6.7006E21","173.992","14.048"
"2012/07/10 14:12","123.483","59.91","123.171","-0.01741364","37.284","1137.28","23.204","7.64","0.57458472","2.135824E21","4.430881E12","6.701458E21","170.479","13.988"
"2012/07/10 19:36","113.844","51.168","116.895","-0.01597548","35.093","1142.18","25.603","10.766","0.81735235","2.854218E21","7.404831E12","9.524397E21","256.806","15.98"
"2012/07/10 19:48","109.754","49.454","111.777","-0.0162076","35.841","1080.472","26.901","12.599","0.71634769","3.043361E21","8.069349E12","1.013624E22","261.359","16.844"
"2012/07/10 20:00","110.211","50.922","111.378","-0.0211434","37.181","1071.319","27.197","13.084","0.76525533","3.063259E21","8.349283E12","1.038472E22","264.372","22.201"
"2012/07/10 20:12","113.23","51.286","114.587","-0.0224505","36.156","1081.106","25.896","10.884","0.64043009","3.087815E21","7.534445E12","1.017091E22","253.565","23.978"
"2012/07/10 20:24","114.081","52.365","115.2","-0.02596487","36.203","1109.012","26.027","11.506","0.92004168","3.010068E21","7.31069E12","1.002252E22","248.518","27.487"
"2012/07/10 20:36","117.718","54.113","118.412","-0.03046938","35.444","1161.302","24.791","9.342","0.69600958","2.9379120000000003E21","6.633871E12","9.822658E21","236.96","32.006"
"2012/07/10 20:48","120.349","55.255","120.41","-0.0223026","34.999","1197.242","24.112","7.958","0.89495856","2.776661E21","5.975983E12","9.210814E21","224.681","22.542"
"2012/07/10 21:00","118.578","53.975","119.434","-0.03019209","35.009","1176.972","24.101","7.708","0.67192084","2.874407E21","6.143886E12","9.47065E21","224.827","31.25"
"2012/07/10 21:12","121.771","54.723","122.065","-0.02574765","34.44","1217.851","23.674","6.917","0.5722127","2.735659E21","5.458596E12","9.049133E21","206.859","25.741"
"2012/07/10 21:24","122.809","55.921","123.277","-0.03261645","34.523","1264.248","23.541","6.268","0.78785467","2.735758E21","5.633575E12","9.321686E21","217.617","32.687"
"2012/07/10 21:36","123.107","56.958","123.147","-0.02690774","34.871","1272.964","23.829","6.329","0.56257498","2.656675E21","5.519543E12","9.054602E21","213.555","26.668"
"2012/07/10 21:48","124.794","57.715","124.468","-0.02557283","34.542","1260.996","23.948","7.349","0.73582602","2.685386E21","5.412976E12","9.04651E21","207.331","25.851"
"2012/07/10 22:00","124.202","57.884","123.238","-0.02751766","35.009","1315.415","24.103","7.216","0.5040381","2.644352E21","5.26508E12","9.31987E21","204.702","27.338"
"2012/07/10 22:12","126.016","60.094","125.423","-0.03100034","35.086","1354.325","23.67","6.166","0.50773203","2.5768399999999997E21","5.024036E12","9.129712000000001E21","199.761","30.525"
"2012/07/10 22:24","126.674","59.964","125.818","-0.02727591","34.929","1339.602","23.645","6.301","0.72740358","2.607317E21","5.225466E12","9.147884E21","207.968","27.209"
"2012/07/10 22:36","132.344","62.263","131.693","-0.02526894","34.171","1443.938","23.008","5.506","0.52984047","2.557126E21","4.878378E12","9.263997E21","199.585","25.04"
"2012/07/10 22:48","130.271","61.666","129.919","-0.0266944","35.056","1387.607","23.097","5.584","0.69782668","2.562699E21","4.950888E12","9.142152E21","197.972","26.217"
"2012/07/10 23:00","126.989","60.344","126.368","-0.02436975","35.066","1369.777","23.72","6.038","0.5190621","2.613854E21","5.286157E12","9.339387E21","208.342","24.255"
"2012/07/10 23:12","130.131","63.115","129.362","-0.02606016","34.564","1442.901","23.123","4.929","0.40487194","2.568442E21","4.971412E12","9.368485E21","199.373","25.7"
