"TimeStamp","Mean Gradient Total","Mean Gradient Horizontal","Mean Gradient Vertical","Twist (alpha)","Mean Inclination angle from Radial","Mean Photospheric Magnetic Free Energy","Mean Shear Angle","Fraction Area Shear gt 45 deg","Mean Vertical Current Density","Unsigned Magnetic Flux in Gauss/Cm^2","Total Unsigned current Ampere","Total Photospheric Energy Density","Total Unsigned Current Helicity","Absolute Val of Current Helicity"
"2012/07/11 03:46","92.373","53.467","95.282","0.01939615","52.255","9981.674","45.0","44.25","0.18718806","1.024959E23","1.736989E14","2.442915E24","7938.118","1368.215"
"2012/07/11 03:58","92.389","53.466","95.257","0.0194797","52.256","9965.438","45.014","44.279","0.16826529999999998","1.0249E23","1.746149E14","2.441258E24","7971.861999999999","1374.4070000000004"
"2012/07/11 04:10","92.49","53.449","95.295","0.01929149","52.209","9964.717","44.984","44.066","0.17016737","1.023453E23","1.736927E14","2.43498E24","7926.983","1360.759"
"2012/07/11 04:22","92.131","53.304","94.847","0.01953514","52.25899999999999","9927.34","45.07100000000001","44.247","0.16295956","1.025393E23","1.743444E14","2.44267E24","7927.938","1378.641"
"2012/07/11 04:34","92.131","53.12","94.888","0.01861932","52.209","9846.87","44.956","43.97","0.18077002","1.029326E23","1.770478E14","2.43987E24","8005.806","1318.0179999999998"
"2012/07/11 04:46","92.152","53.101000000000006","94.925","0.01895119","52.304","9853.203","45.032","44.176","0.19755454","1.026445E23","1.76496E14","2.43559E24","7954.844","1340.721"
"2012/07/11 04:58","92.373","53.164","95.224","0.01942608","52.255","9891.052","45.003","44.051","0.16373429999999997","1.025454E23","1.768013E14","2.437576E24","8006.892","1374.616"
"2012/07/11 05:10","92.958","53.37300000000001","95.754","0.01889656","52.238","9893.474","44.927","44.07","0.21554969","1.025364E23","1.783527E14","2.436451E24","8040.643","1337.823"
"2012/07/11 05:22","93.377","53.632","96.259","0.01977562","52.13399999999999","9933.151","44.847","43.872","0.18300596","1.024122E23","1.793874E14","2.43505E24","8083.55","1401.261"
"2012/07/11 05:34","93.7","53.73","96.658","0.01963456","52.157","9969.611","44.844","43.879","0.2131695","1.022161E23","1.795268E14","2.432403E24","8079.928000000001","1392.47"
"2012/07/11 05:46","94.22","54.13800000000001","97.268","0.01981078","51.979","10056.74","44.712","43.585","0.21812807","1.018351E23","1.799065E14","2.422782E24","8114.93","1404.948"
"2012/07/11 05:58","94.968","54.488","98.091","0.02001193","51.984","10135.84","44.576","43.56800000000001","0.20882939","1.015352E23","1.816972E14","2.422239E24","8215.951","1417.531"
"2012/07/11 06:10","95.486","54.761","98.685","0.02005965","51.848","10162.98","44.589","43.375","0.17309172","1.014151E23","1.826229E14","2.41859E24","8268.993","1420.841"
