"TimeStamp","Mean Gradient Total","Mean Gradient Horizontal","Mean Gradient Vertical","Twist (alpha)","Mean Inclination angle from Radial","Mean Photospheric Magnetic Free Energy","Mean Shear Angle","Fraction Area Shear gt 45 deg","Mean Vertical Current Density","Unsigned Magnetic Flux in Gauss/Cm^2","Total Unsigned current Ampere","Total Photospheric Energy Density","Total Unsigned Current Helicity","Absolute Val of Current Helicity"
"2014/11/06 22:58","129.27100000000002","47.846","128.235","0.0010768","27.528","1810.31","22.81","2.432","-0.58005446","6.00639E21","8.221306E12","2.273866E22","373.327","2.718"
"2014/11/06 23:10","128.191","47.739","127.151","0.00514709","27.574","1829.521","22.848000000000006","2.638","-0.37835214","5.952998E21","8.072523E12","2.274913E22","364.702","12.888"
"2014/11/06 23:22","128.249","47.707","127.706","0.00264461","27.644","1823.811","22.845","2.929","-0.50199425","5.949204E21","8.154783E12","2.265634E22","367.858","6.62"
"2014/11/06 23:34","129.292","48.03","128.71","6.455E-4","27.478","1834.221","22.781","3.072","-0.55094445","5.941747E21","8.150276E12","2.260053E22","370.794","1.624"
"2014/11/06 23:46","123.503","47.294","123.526","-0.0033371000000000004","29.097","1850.219","24.948","6.783","-0.38171318","6.279906E21","9.717469E12","2.539242E22","413.371","8.657"
"2014/11/06 23:58","126.412","47.166","126.113","7.0133E-4","27.78","1783.148","22.823","2.926","-0.37791768","6.045281E21","8.220862E12","2.266271E22","371.537","1.7819999999999998"
"2014/11/07 00:10","128.297","47.732","128.063","4.3972E-4","27.788","1815.135","23.028","3.057","-0.44353664","6.13309E21","8.262392E12","2.32645E22","375.794","1.141"
"2014/11/07 00:22","128.343","46.977","127.964","3.981E-5","27.721","1846.239","23.182","3.083","-0.39666498","6.144142E21","8.235711E12","2.370239E22","374.106","0.104"
"2014/11/07 00:34","126.826","46.62600000000001","126.306","2.3703E-4","27.636","1810.093","22.87","2.715","-0.37909314","6.156065E21","8.186146E12","2.328882E22","371.626","0.617"
"2014/11/07 00:46","127.722","46.44","127.482","1.2201E-4","27.465","1822.413","22.781","2.546","-0.43054113","6.17113E21","8.225538E12","2.328759E22","374.835","0.32"
"2014/11/07 00:58","127.524","46.89","127.094","0.00151586","27.303","1799.88","22.428","2.285","-0.41248608","6.183236E21","8.122739E12","2.290882E22","373.14","4.004"
"2014/11/07 01:10","127.67","46.929","127.22","0.00422151","27.333","1817.391","22.537","2.36","-0.41634333","6.192493E21","8.0906E12","2.321619E22","370.809","11.139"
"2014/11/07 01:22","127.937","46.819","127.447","0.00215647","27.251","1802.828","22.519","2.547","-0.38832605","6.3189E21","8.286331E12","2.3595200000000002E22","375.681","5.8020000000000005"
"2014/11/07 01:34","128.976","47.005","128.165","9.0033E-4","27.377","1813.12","22.636","2.6","-0.51878959","6.309976E21","8.336562E12","2.370821E22","378.899","2.419"
"2014/11/07 01:46","127.911","46.87300000000001","127.041","0.00259654","27.572","1795.1370000000004","22.722","2.946","-0.27863511","6.347594E21","8.418279E12","2.379492E22","381.321","6.983"
"2014/11/07 01:58","127.687","46.789","126.664","9.6343E-4","27.391","1773.751","22.624","2.375","-0.39357483","6.343452E21","8.346005E12","2.351144E22","378.615","2.587"
"2014/11/07 02:10","127.291","46.694","126.073","0.00231148","27.25","1746.753","22.447","2.444","-0.23558484","6.370608000000001E21","8.165499E12","2.325797E22","370.485","6.2189999999999985"
"2014/11/07 02:22","128.056","46.621","127.035","0.00179143","27.034","1746.618","22.38","2.074","-0.42963909999999994","6.478335E21","8.295424E12","2.349044E22","377.495","4.92"
"2014/11/07 02:34","127.191","46.07100000000001","125.97","0.00176383","27.102","1692.033","22.314","2.468","-0.31938004","6.576113E21","8.387445E12","2.3399E22","375.655","4.882"
"2014/11/07 02:46","126.633","45.917","125.324","0.00296608","27.053","1682.235","22.405","2.468","-0.32729441","6.710535E21","8.465718E12","2.389351E22","377.153","8.327"
"2014/11/07 02:58","124.224","45.179","122.833","0.00479887","27.097","1644.364","22.441","2.465","-0.26917973","6.75018E21","8.407375E12","2.382949E22","370.888","13.43"
"2014/11/07 03:10","124.0","44.479","122.633","0.00587899","26.922","1640.436","22.299","2.677","-0.26682767","6.830446E21","8.588487E12","2.401002E22","377.266","16.637"
"2014/11/07 03:22","123.0","43.489","121.836","0.00407995","26.757","1611.582","22.123","2.202","-0.24968417","6.918152E21","8.534344E12","2.390876E22","377.177","11.645"
"2014/11/07 03:34","122.15","42.63399999999999","121.019","0.00422599","26.762","1593.47","22.254","2.61","-0.16086648","7.068862E21","8.529793E12","2.440401E22","374.978","12.211"
"2014/11/07 03:46","120.616","42.182","119.626","0.00268472","26.649","1559.03","22.247","2.3480000000000003","-0.15618291","7.151639E21","8.682172E12","2.425337E22","379.041","7.831"
"2014/11/07 03:58","120.501","41.721","119.594","1.148E-5","26.474","1514.781","21.963","2.073","-0.18923962","7.211047E21","8.548011E12","2.377623E22","373.534","0.034"
"2014/11/07 04:10","120.543","41.73","119.895","0.00128144","26.344","1509.026","21.879","2.181","-0.15101978","7.239137E21","8.377917E12","2.370995E22","370.031","3.782"
"2014/11/07 04:22","121.163","41.762","120.626","0.00204816","26.563","1494.563","21.927","2.53","-0.13073976","7.305899E21","8.602651E12","2.385189E22","374.069","6.0870000000000015"
"2014/11/07 04:34","119.655","41.441","119.131","-2.0393E-4","26.525","1472.983","21.952","2.371","-0.16640157","7.391707E21","8.691438E12","2.393003E22","377.167","0.611"
"2014/11/07 04:46","119.552","40.921","119.227","0.0023797","26.562","1477.083","21.979","2.608","-0.06537028","7.398128000000001E21","8.67573E12","2.39162E22","377.298","7.167000000000002"
