"TimeStamp","Mean Gradient Total","Mean Gradient Horizontal","Mean Gradient Vertical","Twist (alpha)","Mean Inclination angle from Radial","Mean Photospheric Magnetic Free Energy","Mean Shear Angle","Fraction Area Shear gt 45 deg","Mean Vertical Current Density","Unsigned Magnetic Flux in Gauss/Cm^2","Total Unsigned current Ampere","Total Photospheric Energy Density","Total Unsigned Current Helicity","Absolute Val of Current Helicity"
"2011/03/11 10:34","91.925","60.573","98.605","2.1798E-4","53.958","11984.76","47.44600000000001","49.923","0.0629832","4.015735E22","7.193025E13","1.038553E24","3462.153","6.235"
"2011/03/11 10:46","91.191","60.17","97.499","3.9633E-4","54.129","11855.54","47.589","49.93","0.07295787","4.02083E22","7.19657E13","1.03989E24","3401.725","11.279000000000002"
"2011/03/11 10:58","91.167","60.407","97.761","3.1512E-4","53.927","11820.46","47.39100000000001","49.649","0.05422289","4.01659E22","7.233504E13","1.033876E24","3453.115","8.947000000000003"
"2011/03/11 11:10","90.772","60.007","97.04","-5.1611E-4","54.011","11769.93","47.592","49.995","0.06163732","4.015615E22","7.244734E13","1.038555E24","3426.155","14.582"
"2011/03/11 11:22","90.559","59.737","96.282","-5.7125E-4","53.886","11718.95","47.401","49.636","0.03782992","4.018679E22","7.199689E13","1.036561E24","3381.0840000000007","16.083"
"2011/03/11 11:34","90.383","59.3","96.173","-9.2378E-4","53.861","11680.05","47.411","49.629","0.05782473","4.010954E22","7.150387E13","1.034734E24","3347.728","25.885"
"2011/03/11 11:46","90.238","59.145","96.301","-0.00165099","53.89100000000001","11688.49","47.292","49.39","0.06933351","4.006963E22","7.096452E13","1.033649E24","3317.755","46.187"
"2011/03/11 11:58","90.215","59.025","96.556","-0.00183425","53.734","11729.02","47.159","49.313","0.09344829","4.011485E22","7.093789E13","1.03186E24","3364.492","51.465"
"2011/03/11 12:10","89.94","58.627","96.163","-0.00154256","53.77","11665.07","47.221","49.42","0.13139454","4.015134E22","7.048882E13","1.029317E24","3334.285","43.174"
"2011/03/11 12:22","89.32","58.083","95.317","-0.00195401","53.758","11533.16","47.198","49.315","0.08448377","4.027212E22","7.115833E13","1.031018E24","3343.3920000000007","54.667"
"2011/03/11 12:34","89.21700000000001","57.958","95.301","-0.00231873","53.749","11539.67","47.298","49.32100000000001","0.10539792","4.027415E22","7.135086E13","1.032979E24","3348.014","64.789"
